aX,aY,aZ,gX,gY,gZ
-1.723,1.223,1.167,109.802,-78.674,-611.938
-2.031,1.056,1.145,88.440,-76.294,-644.714
-2.376,0.832,1.031,78.369,-77.515,-673.035
-2.572,0.522,0.831,75.134,-83.557,-697.449
-2.737,-0.030,0.734,78.003,-97.839,-717.102
-2.891,-0.863,0.818,68.604,-116.943,-725.403
-2.579,-1.570,1.148,34.668,-128.296,-711.853
-2.176,-2.048,1.389,4.211,-124.817,-664.490
-1.888,-2.346,1.476,9.644,-110.596,-583.801
-1.581,-2.302,1.563,25.574,-94.788,-487.183
-1.363,-2.160,1.565,43.701,-80.444,-396.484
-1.155,-1.984,1.506,59.570,-63.049,-320.496
-0.987,-1.842,1.399,71.228,-42.358,-258.423
-0.882,-1.731,1.207,68.909,-20.325,-204.346
-0.663,-1.574,1.011,44.983,-2.075,-152.710
-0.495,-1.360,0.864,9.583,8.484,-102.112
-0.381,-1.066,0.768,-29.297,10.376,-54.993
-0.224,-0.745,0.724,-59.631,6.958,-17.395
-0.144,-0.478,0.712,-65.552,-2.625,7.935
-0.074,-0.244,0.732,-57.739,-17.639,23.560
-0.010,-0.040,0.835,-46.509,-34.363,28.992
0.048,0.063,0.932,-31.128,-47.607,29.541
0.121,0.117,1.005,-14.465,-56.702,27.954
0.161,0.127,1.102,-2.197,-60.547,24.048
0.179,0.106,1.206,4.028,-58.594,20.081
0.204,0.080,1.278,6.409,-48.096,18.066
0.219,0.063,1.301,8.850,-31.372,18.738
0.260,0.021,1.249,8.484,-9.033,22.644
0.302,0.020,1.130,0.671,14.221,27.405
0.337,0.047,0.957,-12.390,33.142,33.081
0.383,0.087,0.792,-26.733,43.274,39.978
0.445,0.161,0.696,-40.955,43.762,45.959
0.467,0.261,0.662,-47.668,35.889,48.767
0.455,0.360,0.660,-44.861,24.109,48.401
0.456,0.429,0.677,-33.264,12.512,45.593
0.488,0.481,0.714,-19.714,2.686,41.016
0.532,0.527,0.782,-9.705,-4.578,34.912
0.526,0.530,0.864,-0.122,-8.301,27.527
0.520,0.523,0.931,8.850,-9.155,18.494
0.503,0.475,0.943,17.456,-7.690,10.498
0.497,0.417,0.923,22.522,-5.066,5.859
0.497,0.364,0.909,20.874,-2.380,3.723
0.469,0.321,0.913,13.733,-0.183,2.441
0.445,0.282,0.922,7.263,2.319,1.465
0.429,0.219,0.912,3.723,5.859,1.282
0.428,0.178,0.881,-0.305,9.338,2.625
0.421,0.143,0.836,-1.526,11.414,5.798
0.428,0.119,0.795,-0.244,10.315,10.498
0.437,0.139,0.788,-1.099,6.348,16.235
0.432,0.222,0.819,-3.601,1.526,22.095
0.415,0.296,0.856,-3.845,-1.953,26.611
0.416,0.347,0.867,0.183,-3.601,27.832
