aX,aY,aZ,gX,gY,gZ
0.694,0.275,0.163,-3.052,36.377,-6.409
0.703,0.265,0.105,1.587,24.841,-4.517
0.710,0.235,0.099,6.409,10.925,-2.808
0.728,0.243,0.159,9.644,-3.357,-0.793
0.711,0.245,0.247,13.062,-16.541,1.709
0.749,0.302,0.358,19.653,-26.733,4.272
0.723,0.281,0.431,33.325,-35.339,4.944
0.721,0.296,0.539,34.058,-39.978,3.967
0.731,0.295,0.627,29.175,-40.161,4.028
0.737,0.287,0.675,23.804,-36.499,6.165
0.743,0.318,0.696,14.648,-30.090,8.911
0.735,0.344,0.693,6.226,-22.766,10.559
0.725,0.355,0.678,0.427,-16.418,10.803
0.702,0.376,0.659,-3.723,-11.475,9.399
0.682,0.349,0.619,-3.296,-7.629,7.446
0.686,0.324,0.580,-3.052,-6.042,5.066
0.679,0.315,0.553,-1.648,-6.958,3.784
0.673,0.302,0.546,2.258,-9.766,4.211
0.683,0.305,0.567,5.310,-13.611,5.188
0.697,0.323,0.601,7.141,-16.968,5.493
0.706,0.345,0.631,12.634,-18.616,5.066
0.708,0.345,0.632,22.644,-18.677,3.784
0.709,0.351,0.616,31.189,-18.372,2.136
0.701,0.354,0.603,32.227,-17.578,0.610
0.702,0.349,0.612,26.062,-16.907,-0.244
0.714,0.331,0.632,17.639,-15.686,-0.183
0.713,0.313,0.647,9.827,-13.306,0.549
0.712,0.303,0.654,3.845,-9.949,1.587
0.709,0.302,0.642,2.686,-7.019,2.258
0.697,0.305,0.624,3.174,-5.005,2.441
0.682,0.321,0.611,4.822,-4.578,2.075
0.668,0.313,0.607,7.385,-5.127,0.732
0.671,0.302,0.610,6.714,-5.981,-1.160
0.677,0.303,0.619,5.676,-6.836,-2.441
0.687,0.310,0.631,6.592,-7.385,-2.380
0.693,0.307,0.623,9.216,-7.324,-1.282
0.698,0.306,0.606,11.353,-6.897,-1.038
0.702,0.295,0.594,11.597,-7.141,-1.160
0.703,0.289,0.600,9.399,-8.057,-1.282
0.697,0.278,0.625,5.005,-8.484,-0.305
0.694,0.277,0.646,0.549,-8.240,1.282
0.696,0.285,0.652,-2.075,-7.446,2.991
0.688,0.306,0.651,-2.319,-7.263,4.150
0.694,0.366,0.661,-0.427,-7.202,4.822
0.682,0.371,0.664,5.737,-7.874,4.700
0.681,0.352,0.666,10.803,-8.301,2.075
0.678,0.322,0.685,10.620,-8.118,-1.770
0.687,0.281,0.692,10.681,-7.385,-3.723
0.680,0.251,0.682,10.803,-6.409,-3.479
0.673,0.250,0.663,8.972,-5.859,-1.648
0.677,0.272,0.657,3.235,-5.310,1.587
0.681,0.344,0.661,-0.061,-5.554,3.906
0.679,0.350,0.664,4.822,-6.226,4.211
0.681,0.339,0.671,10.254,-6.592,2.502
0.680,0.308,0.676,12.451,-6.714,0.000
0.673,0.288,0.674,13.672,-6.653,-1.465
0.662,0.287,0.664,13.000,-6.226,-1.160
0.663,0.302,0.660,12.268,-5.859,0.122
0.660,0.304,0.664,12.146,-6.042,0.793
0.662,0.302,0.677,11.780,-6.042,0.427
0.666,0.301,0.691,11.475,-5.554,-0.183
0.669,0.293,0.690,12.085,-4.395,-0.793
0.671,0.291,0.683,11.353,-3.540,-0.854
0.662,0.283,0.676,9.460,-2.625,-1.038
0.662,0.281,0.673,6.104,-2.136,-0.916

-0.751,1.406,1.060,-51.819,-343.079,104.126
-0.714,1.611,1.390,-69.397,-333.435,94.727
-0.649,1.793,1.701,-98.938,-313.171,81.482
-0.563,1.943,2.046,-124.512,-288.391,61.768
-0.480,2.023,2.412,-135.498,-260.132,33.630
-0.404,2.015,2.788,-132.324,-226.807,-1.221
-0.354,1.907,3.097,-120.544,-185.608,-38.574
-0.310,1.761,3.293,-105.713,-135.132,-72.388
-0.305,1.616,3.320,-85.815,-77.759,-97.046
-0.336,1.531,3.227,-60.730,-18.616,-113.159
-0.383,1.526,3.099,-41.870,36.316,-125.916
-0.429,1.564,2.956,-25.330,85.876,-137.817
-0.528,1.623,2.799,-10.559,129.456,-150.696
-0.680,1.669,2.569,3.296,170.166,-167.236
-0.773,1.659,2.250,14.709,206.604,-187.195
-0.853,1.580,1.945,15.625,234.070,-209.717
-0.934,1.449,1.752,0.366,250.488,-233.337
-0.997,1.258,1.611,-20.325,261.108,-255.737
