aX,aY,aZ,gX,gY,gZ
0.237,0.335,0.967,17.639,5.371,-17.456
0.243,0.245,0.931,13.428,10.254,-16.541
0.235,0.194,0.908,5.371,13.916,-11.841
0.225,0.190,0.870,-1.343,16.541,-4.456
0.228,0.224,0.813,-5.127,18.188,3.967
0.234,0.327,0.764,-8.057,17.395,11.719
0.224,0.428,0.736,-7.080,13.245,15.747
0.219,0.522,0.745,-3.357,7.019,14.709
0.234,0.571,0.771,1.038,0.549,8.911
0.221,0.565,0.816,6.104,-4.395,0.305
0.217,0.498,0.856,11.292,-6.775,-8.423
0.224,0.407,0.888,14.282,-6.958,-15.076
0.233,0.311,0.902,13.794,-5.127,-18.372

-0.270,-0.917,1.706,-30.762,55.176,93.140
-0.315,-0.924,1.700,-29.602,76.477,124.573
-0.393,-0.881,1.668,-27.710,96.802,155.640
-0.484,-0.820,1.639,-24.048,113.281,183.289
-0.545,-0.791,1.611,-17.517,125.488,205.566
-0.659,-0.847,1.654,-6.958,135.071,224.060
-0.719,-0.929,1.713,4.761,144.104,241.699
-0.786,-0.932,1.702,17.334,155.212,263.184
-0.883,-0.934,1.592,34.058,169.800,290.833
-0.998,-0.924,1.431,42.847,185.059,320.740
-1.092,-0.852,1.285,36.377,196.777,350.098
-1.157,-0.710,1.202,27.588,203.735,378.845
-1.258,-0.584,1.245,25.757,205.811,404.968
-1.312,-0.446,1.297,25.391,205.627,427.246
-1.427,-0.258,1.214,30.823,209.900,447.876
-1.556,-0.070,1.022,43.396,220.825,467.651
-1.616,0.160,0.760,57.678,229.431,484.375
-1.635,0.445,0.498,73.120,227.783,494.202
-1.630,0.736,0.305,91.431,212.341,496.765
-1.606,1.060,0.164,104.553,185.242,492.310
-1.567,1.333,0.050,117.126,153.625,481.262
-1.507,1.515,0.000,123.108,121.216,464.478
-1.500,1.679,0.075,113.464,89.539,441.284
-1.593,1.860,0.227,97.961,60.730,413.330
-1.653,1.994,0.395,92.529,38.818,385.498
-1.658,2.142,0.552,94.666,26.550,359.375
-1.746,2.359,0.671,102.112,23.437,332.275
-1.815,2.589,0.698,116.821,27.283,303.467
-1.867,2.771,0.674,129.822,34.851,270.630
-1.838,4.000,0.174,126.526,36.682,200.073
-1.488,3.605,0.217,138.428,11.780,7.935
-1.518,2.640,0.363,152.405,-1.282,-61.401
-1.765,2.169,0.425,141.418,-5.554,-55.298
-2.023,1.898,0.495,99.915,-1.221,-25.085
-2.076,2.017,0.514,24.841,9.644,-0.793
